state-name,constituency-name,candidate-name,category,party-name,total-votes,candidate-vote-share,result,phone-number,email-address
Andhra Pradesh,Nandyal,POCHA . BRAHMANANDA REDDY,GENERAL,YSRCP,720888,55.46,Winner,Not Found,Not Found
Andhra Pradesh,Nandyal,MANDRA SIVANANDA REDDY,GENERAL,TDP,470769,36.22,2nd place,Not Found,Not Found
Andhra Pradesh,Nandyal,S.P.Y. REDDY,GENERAL,JnP,38871,2.99,3rd place,Not Found,Not Found
Andhra Pradesh,Kurnool,AYUSHMAN DOCTOR SANJEEV KUMAR,GENERAL,YSRCP,605462,50.85,Winner,Not Found,Not Found
Andhra Pradesh,Kurnool,KOTLA JAYA SURYA PRAKASH REDDY,GENERAL,TDP,456395,38.33,2nd place,Not Found,Not Found
Andhra Pradesh,Kurnool,AHMED ALI KHAN,GENERAL,INC,36500,3.07,3rd place,Not Found,Not Found
Andhra Pradesh,Anantapur,TALARI RANGAIAH,GENERAL,YSRCP,695208,51.57,Winner,Not Found,Not Found
Andhra Pradesh,Anantapur,J.C. PAVAN REDDY,GENERAL,TDP,553780,41.08,2nd place,Not Found,Not Found
Andhra Pradesh,Anantapur,K.RAJIV REDDY,GENERAL,INC,30079,2.23,3rd place,Not Found,Not Found
Andhra Pradesh,Hindupur,KURUVA GORANTLA MADHAV,GENERAL,YSRCP,706602,52.73,Winner,Not Found,Not Found
Andhra Pradesh,Hindupur,KRISTAPPA . NIMMALA,GENERAL,TDP,565854,42.23,2nd place,Not Found,Not Found
Andhra Pradesh,Hindupur,KAMAGANAHALLI THIPPESWAMY SREEDHAR (K.T.SREEDHAR),GENERAL,INC,27156,2.03,3rd place,Not Found,Not Found
Andhra Pradesh,Kadapa,Y.S.Avinash Reddy,GENERAL,YSRCP,783499,63.41,Winner,Not Found,Not Found
Andhra Pradesh,Kadapa,Adi Narayana Reddy Chadipirala,GENERAL,TDP,402773,32.6,2nd place,Not Found,Not Found
Andhra Pradesh,Kadapa,NOTA,,NOTA,14692,1.19,3rd place,NA,NA
Andhra Pradesh,Nellore,Adala Prabhakara Reddy,GENERAL,YSRCP,683830,53.04,Winner,Not Found,Not Found
Andhra Pradesh,Nellore,Beeda Masthan Rao,GENERAL,TDP,535259,41.52,2nd place,Not Found,Not Found
Andhra Pradesh,Nellore,Chandra Rajagopal,GENERAL,CPIM,18830,1.46,3rd place,Not Found,Not Found
Andhra Pradesh,Tirupati ,Balli Durga Prasad Rao,SC,YSRCP,722877,54.91,Winner,Not Found,Not Found
Andhra Pradesh,Tirupati ,Panabaka Lakshmi,SC,TDP,494501,37.56,2nd place,Not Found,Not Found
Andhra Pradesh,Tirupati ,NOTA,,NOTA,25781,1.96,3rd place,NA,NA
Andhra Pradesh,Rajampet,P.V.MIDHUN REDDY,GENERAL,YSRCP,702211,57.27,Winner,Not Found,Not Found
Andhra Pradesh,Rajampet,D A SATHYA PRABHA,GENERAL,TDP,433927,35.39,2nd place,Not Found,Not Found
Andhra Pradesh,Rajampet,SYED MUKARRAM,GENERAL,JnP,33986,2.77,3rd place,Not Found,Not Found
Andhra Pradesh,Chittoor ,N. REDDEPPA,SC,YSRCP,686792,52.04,Winner,Not Found,Not Found
Andhra Pradesh,Chittoor ,NARAMALLI SIVA PRASAD,SC,TDP,549521,41.64,2nd place,Not Found,Not Found
Andhra Pradesh,Chittoor ,CHEEMALA. RANGAPPA,SC,INC,24643,1.87,3rd place,Not Found,Not Found
Arunachal Pradesh,ARUNACHAL WEST,KIREN RIJIJU,ST,BJP,225796,62.02,Winner,Not Found,Not Found
Arunachal Pradesh,ARUNACHAL WEST,NABAM TUKI,ST,INC,50953,14.0,2nd place,Not Found,Not Found
Arunachal Pradesh,ARUNACHAL WEST,JARJUM ETE,ST,JD(S),43920,12.06,3rd place,Not Found,Not Found
Arunachal Pradesh,ARUNACHAL EAST,Tapir Gao,ST,BJP,153883,52.04,Winner,Not Found,Not Found
Arunachal Pradesh,ARUNACHAL EAST,Lowangcha Wanglat,ST,INC,83935,28.38,2nd place,Not Found,Not Found
Arunachal Pradesh,ARUNACHAL EAST,Mongol Yomso,ST,PPA,22937,7.76,3rd place,Not Found,Not Found
Assam,Karimganj ,KRIPANATH MALLAH,SC,BJP,473046,44.58,Winner,Not Found,Not Found
Assam,Karimganj ,RADHESHYAM BISWAS,SC,AIUDF,434657,40.96,2nd place,Not Found,Not Found
Assam,Karimganj ,SWARUP DAS,SC,INC,120452,11.35,3rd place,Not Found,Not Found
Assam,Silchar,RAJDEEP ROY,GENERAL,BJP,499414,52.53,Winner,Not Found,Not Found
Assam,Silchar,SUSHMITA DEV,GENERAL,INC,417818,43.95,2nd place,Not Found,Not Found
Assam,Silchar,NOTA,,NOTA,8547,0.9,3rd place,NA,NA
Assam,Autonomous District,HOREN SING BEY,ST,BJP,381316,61.72,Winner,Not Found,Not Found
Assam,Autonomous District,BIREN SINGH ENGTI,ST,INC,141690,22.93,2nd place,Not Found,Not Found
Assam,Autonomous District,JONES INGTI KATHAR,ST,IND,39583,6.41,3rd place,Not Found,Not Found
Assam,Dhubri,BADRUDDIN AJMAL,GENERAL,AIUDF,718764,42.66,Winner,Not Found,Not Found
Assam,Dhubri,ABU TAHER BEPARI,GENERAL,INC,492506,29.23,2nd place,Not Found,Not Found
