state-name,constituency-name,candidate-name,category,party-name,total-votes,candidate-vote-share
Andhra Pradesh,Kakinada,YALLA VENKATA RAMA MOHAN RAO (DORABABU),GENERAL,BJP,9596,0.78
Andhra Pradesh,Kakinada,VANGA GEETHAVISWANATH,GENERAL,YSRCP,537630,43.47
Andhra Pradesh,Kakinada,APPALAKONDA VANGALAPUDI,SC,MPP,2997,0.24
Andhra Pradesh,Kakinada,B. GEETHA,GENERAL,PRSHP,1688,0.14
Andhra Pradesh,Kakinada,GODUGU SATYANARAYANA,SC,CPI(ML)(L),1724,0.14
Andhra Pradesh,Kakinada,JYOTHULA VENKATESWARA RAO,GENERAL,JnP,132648,10.72
Andhra Pradesh,Kakinada,DONAM NEELAKANTAM,SC,AINPP,980,0.08
Andhra Pradesh,Kakinada,PEDDIMSETTI. VENKATESWARARAO,GENERAL,JAJGP,815,0.07
Andhra Pradesh,Kakinada,VASAMSETTY VENKATARAMANA,GENERAL,AIFB,1014,0.08
Andhra Pradesh,Kakinada,SATHI VEERALAKSHMI,GENERAL,PPOI,1119,0.09
Andhra Pradesh,Kakinada,ANKADI SATHIBABU,GENERAL,IND,1381,0.11
Andhra Pradesh,Kakinada,KAKILETI RAVINDRA,SC,IND,3327,0.27
Andhra Pradesh,Kakinada,MEDISETTI VIJAYA KUMAR,GENERAL,IND,2051,0.17
Andhra Pradesh,Kakinada,NOTA,,NOTA,17153,1.39
Andhra Pradesh,Amalapuram ,AYYAJI VEMA MANEPALLI,SC,BJP,11534,0.93
Andhra Pradesh,Amalapuram ,GANTI HARISH MADHUR (BALAYOGI),SC,TDP,446163,36.12
Andhra Pradesh,Amalapuram ,CHINTA ANURADHA,SC,YSRCP,485958,39.34
Andhra Pradesh,Amalapuram ,JANGA GOUTHAM,SC,INC,7887,0.64
Andhra Pradesh,Amalapuram ,CHELLE RAJANI,SC,JAJGP,1231,0.10
Andhra Pradesh,Amalapuram ,PANTHAGADA VIJAYA CHAKRAVARTHY,SC,RPI(KH),1804,0.15
Andhra Pradesh,Amalapuram ,MURALIKRISHNA KANDERI,SC,IPBP,1804,0.15
Andhra Pradesh,Amalapuram ,MORTHA SIVA RAMA KRISHNA,SC,PPOI,1954,0.16
Andhra Pradesh,Amalapuram ,D M R SEKHAR,SC,JnP,255317,20.67
Andhra Pradesh,Amalapuram ,REVU SUDHAKAR,SC,IND,2775,0.22
Andhra Pradesh,Amalapuram ,NOTA,,NOTA,16468,1.33
Andhra Pradesh,Rajahmundry,NALLURI VIJAYA SRINIVASA RAO,GENERAL,INC,12725,1.02
Andhra Pradesh,Rajahmundry,PARAVASTU SATYA GOPINATH DAS,GENERAL,BJP,12334,0.99
Andhra Pradesh,Rajahmundry,MAGANTI ROOPA,GENERAL,TDP,460390,36.82
